OUT = 52.000000 	 PREOUT = 50.000000 	 ERROR = 1.063814 	 TACHO = 0.000000 	 SOURCE = 1.063814 
OUT = 54.000000 	 PREOUT = 52.000000 	 ERROR = 1.063814 	 TACHO = 0.000000 	 SOURCE = 1.063814 
OUT = 58.000000 	 PREOUT = 56.000000 	 ERROR = 1.063814 	 TACHO = 0.000000 	 SOURCE = 1.063814 
OUT = 60.000000 	 PREOUT = 58.000000 	 ERROR = 1.063814 	 TACHO = 0.000000 	 SOURCE = 1.063814 
OUT = 64.000000 	 PREOUT = 62.000000 	 ERROR = 1.063814 	 TACHO = 0.000000 	 SOURCE = 1.063814 
OUT = 68.000000 	 PREOUT = 66.000000 	 ERROR = 0.671883 	 TACHO = 0.380734 	 SOURCE = 1.052616 
OUT = 70.000000 	 PREOUT = 68.000000 	 ERROR = 0.559902 	 TACHO = 0.515110 	 SOURCE = 1.075013 
OUT = 72.000000 	 PREOUT = 70.000000 	 ERROR = 0.503912 	 TACHO = 0.548704 	 SOURCE = 1.052616 
OUT = 74.000000 	 PREOUT = 72.000000 	 ERROR = 0.447922 	 TACHO = 0.615893 	 SOURCE = 1.063814 
OUT = 76.000000 	 PREOUT = 74.000000 	 ERROR = 0.391932 	 TACHO = 0.660685 	 SOURCE = 1.052616 
OUT = 78.000000 	 PREOUT = 76.000000 	 ERROR = 0.324743 	 TACHO = 0.739071 	 SOURCE = 1.063814 
OUT = 80.000000 	 PREOUT = 78.000000 	 ERROR = 0.302347 	 TACHO = 0.761467 	 SOURCE = 1.063814 
OUT = 82.000000 	 PREOUT = 80.000000 	 ERROR = 0.257555 	 TACHO = 0.795061 	 SOURCE = 1.052616 
OUT = 84.000000 	 PREOUT = 82.000000 	 ERROR = 0.235159 	 TACHO = 0.828655 	 SOURCE = 1.063814 
OUT = 88.000000 	 PREOUT = 86.000000 	 ERROR = 0.190367 	 TACHO = 0.862250 	 SOURCE = 1.052616 
OUT = 90.000000 	 PREOUT = 88.000000 	 ERROR = 0.179169 	 TACHO = 0.884646 	 SOURCE = 1.063814 
OUT = 92.000000 	 PREOUT = 90.000000 	 ERROR = 1.343766 	 TACHO = 0.895844 	 SOURCE = 2.239609 
OUT = 94.000000 	 PREOUT = 92.000000 	 ERROR = 0.134377 	 TACHO = 0.918240 	 SOURCE = 1.052616 
OUT = 98.000000 	 PREOUT = 96000000 	 ERROR = 0.100782 	 TACHO = 0.963032 	 SOURCE = 1.063814 
OUT = 100.000000 	 PREOUT = 98.000000 	 ERROR = 0.055990 	 TACHO = 0.996626 	 SOURCE = 1.052616 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.044792 	 TACHO = 1.007824 	 SOURCE = 1.052616 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.022396 	 TACHO = 1.030220 	 SOURCE = 1.052616 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.022396 	 TACHO = 1.041418 	 SOURCE = 1.063814 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.011198 	 TACHO = 1.041418 	 SOURCE = 1.052616 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.011198 	 TACHO = 1.052616 	 SOURCE = 1.063814 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.011198 	 TACHO = 1.052616 	 SOURCE = 1.063814 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.011198 	 TACHO = 1.052616 	 SOURCE = 1.063814 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.011198 	 TACHO = 1.052616 	 SOURCE = 1.063814 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.011198 	 TACHO = 1.052616 	 SOURCE = 1.063814 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.011198 	 TACHO = 1.041418 	 SOURCE = 1.052616 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.000000 	 TACHO = 1.052616 	 SOURCE = 1.052616 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.000000 	 TACHO = 1.052616 	 SOURCE = 1.052616 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.022396 	 TACHO = 1.041418 	 SOURCE = 1.063814 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.022396 	 TACHO = 1.041418 	 SOURCE = 1.063814 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.000000 	 TACHO = 1.052616 	 SOURCE = 1.052616 
