OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 1.052616 	 TACHO = 0.000000 	 SOURCE = 1.052616 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 1.052616 	 TACHO = 0.000000 	 SOURCE = 1.052616 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 1.063814 	 TACHO = 0.000000 	 SOURCE = 1.063814 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 1.052616 	 TACHO = 0.000000 	 SOURCE = 1.052616 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 1.041418 	 TACHO = 0.011198 	 SOURCE = 1.052616 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 1.052616 	 TACHO = 0.000000 	 SOURCE = 1.052616 
OUT = 45.419278 	 PREOUT = 50.000000 	 ERROR = 0.268753 	 TACHO = 0.716675 	 SOURCE = 0.985428 
OUT = 72.440165 	 PREOUT = 45.419278 	 ERROR = 0.414328 	 TACHO = 0.571100 	 SOURCE = 0.985428 
OUT = 87.523934 	 PREOUT = 72.440165 	 ERROR = 0.481516 	 TACHO = 0.503912 	 SOURCE = 0.985428 
OUT = 689.452548 	 PREOUT = 100.000000 	 ERROR = 0.503912 	 TACHO = 0.481516 	 SOURCE = 0.985428 
OUT = 702.408688 	 PREOUT = 100.000000 	 ERROR = 0.526308 	 TACHO = 0.459120 	 SOURCE = 0.985428 
OUT = 703.360522 	 PREOUT = 100.000000 	 ERROR = 0.503912 	 TACHO = 0.481516 	 SOURCE = 0.985428 
OUT = 706.003261 	 PREOUT = 100.000000 	 ERROR = 0.492714 	 TACHO = 0.492714 	 SOURCE = 0.985428 
OUT = 714.222628 	 PREOUT = 100.000000 	 ERROR = 0.515110 	 TACHO = 0.481516 	 SOURCE = 0.996626 
OUT = 718.858619 	 PREOUT = 100.000000 	 ERROR = 0.515110 	 TACHO = 0.470318 	 SOURCE = 0.985428 
OUT = 723.494611 	 PREOUT = 100.000000 	 ERROR = 0.515110 	 TACHO = 0.470318 	 SOURCE = 0.985428 
OUT = 726.238132 	 PREOUT = 100.000000 	 ERROR = 0.503912 	 TACHO = 0.481516 	 SOURCE = 0.985428 
OUT = 725.095931 	 PREOUT = 100.000000 	 ERROR = 0.470318 	 TACHO = 0.492714 	 SOURCE = 0.963032 
OUT = 741.433882 	 PREOUT = 100.000000 	 ERROR = 0.515110 	 TACHO = 0.470318 	 SOURCE = 0.985428 
OUT = 744.177403 	 PREOUT = 100.000000 	 ERROR = 0.503912 	 TACHO = 0.481516 	 SOURCE = 0.985428 
OUT = 746.820142 	 PREOUT = 100.000000 	 ERROR = 0.492714 	 TACHO = 0.492714 	 SOURCE = 0.985428 
OUT = 753.147039 	 PREOUT = 100.000000 	 ERROR = 0.503912 	 TACHO = 0.481516 	 SOURCE = 0.985428 
OUT = 764.210709 	 PREOUT = 100.000000 	 ERROR = 0.515110 	 TACHO = 0.470318 	 SOURCE = 0.985428 
OUT = 766.954230 	 PREOUT = 100.000000 	 ERROR = 0.503912 	 TACHO = 0.481516 	 SOURCE = 0.985428 
OUT = 771.489439 	 PREOUT = 100.000000 	 ERROR = 0.503912 	 TACHO = 0.481516 	 SOURCE = 0.985428 
OUT = 777.917118 	 PREOUT = 100.000000 	 ERROR = 0.515110 	 TACHO = 0.470318 	 SOURCE = 0.985428 
OUT = 785.397414 	 PREOUT = 100.000000 	 ERROR = 0.503912 	 TACHO = 0.470318 	 SOURCE = 0.974230 
OUT = 789.932623 	 PREOUT = 100.000000 	 ERROR = 0.503912 	 TACHO = 0.481516 	 SOURCE = 0.985428 
OUT = 794.467832 	 PREOUT = 100.000000 	 ERROR = 0.503912 	 TACHO = 0.481516 	 SOURCE = 0.985428 
OUT = 800.895511 	 PREOUT = 100.000000 	 ERROR = 0.515110 	 TACHO = 0.470318 	 SOURCE = 0.985428 
