OUT = 54.000000 	 PREOUT = 52.000000 	 ERROR = 0.996626 	 TACHO = 0.000000 	 SOURCE = 0.996626 
OUT = 52.000000 	 PREOUT = 50.000000 	 ERROR = 0.996626 	 TACHO = 0.000000 	 SOURCE = 0.996626 
OUT = 56.000000 	 PREOUT = 54.000000 	 ERROR = 0.985428 	 TACHO = 0.000000 	 SOURCE = 0.985428 
OUT = 62.000000 	 PREOUT = 60.000000 	 ERROR = 0.985428 	 TACHO = 0.000000 	 SOURCE = 0.985428 
OUT = 64.000000 	 PREOUT = 62.000000 	 ERROR = 0.985428 	 TACHO = 0.000000 	 SOURCE = 0.985428 
OUT = 66.000000 	 PREOUT = 64.000000 	 ERROR = 0.985428 	 TACHO = 0.000000 	 SOURCE = 0.985428 
OUT = 70.000000 	 PREOUT = 68.000000 	 ERROR = 0.582298 	 TACHO = 0.414328 	 SOURCE = 0.996626 
OUT = 72.000000 	 PREOUT = 70.000000 	 ERROR = 0.436724 	 TACHO = 0.548704 	 SOURCE = 0.985428 
OUT = 74.000000 	 PREOUT = 72.000000 	 ERROR = 0.347139 	 TACHO = 0.638289 	 SOURCE = 0.985428 
OUT = 76.000000 	 PREOUT = 74.000000 	 ERROR = 0.291149 	 TACHO = 0.694279 	 SOURCE = 0.985428 
OUT = 78.000000 	 PREOUT = 76.000000 	 ERROR = 0.268753 	 TACHO = 0.727873 	 SOURCE = 0.996626 
OUT = 80.000000 	 PREOUT = 78.000000 	 ERROR = 0.380734 	 TACHO = 0.604695 	 SOURCE = 0.985428 
OUT = 82.000000 	 PREOUT = 80.000000 	 ERROR = 0.201565 	 TACHO = 0.783863 	 SOURCE = 0.985428 
OUT = 84.000000 	 PREOUT = 82.000000 	 ERROR = 0.111980 	 TACHO = 0.806259 	 SOURCE = 0.918240 
OUT = 86.000000 	 PREOUT = 84.000000 	 ERROR = 0.156773 	 TACHO = 0.828655 	 SOURCE = 0.985428 
OUT = 88.000000 	 PREOUT = 86.000000 	 ERROR = 0.179169 	 TACHO = 0.851052 	 SOURCE = 1.030220 
OUT = 90.000000 	 PREOUT = 88.000000 	 ERROR = 0.156773 	 TACHO = 0.828655 	 SOURCE = 0.985428 
OUT = 88.000000 	 PREOUT = 90.000000 	 ERROR = -1.870074 	 TACHO = 2.855502 	 SOURCE = 0.985428 
OUT = 90.000000 	 PREOUT = 88.000000 	 ERROR = 0.089584 	 TACHO = 0.895844 	 SOURCE = 0.985428 
OUT = 92.000000 	 PREOUT = 90.000000 	 ERROR = 0.067188 	 TACHO = 0.918240 	 SOURCE = 0.985428 
OUT = 96.000000 	 PREOUT = 94.000000 	 ERROR = 0.044792 	 TACHO = 0.940636 	 SOURCE = 0.985428 
OUT = 94.000000 	 PREOUT = 96.000000 	 ERROR = 0.033594 	 TACHO = 0.951834 	 SOURCE = 0.985428 
OUT = 92.000000 	 PREOUT = 94.000000 	 ERROR = 0.011198 	 TACHO = 0.974230 	 SOURCE = 0.985428 
OUT = 94.000000 	 PREOUT = 92.000000 	 ERROR = 0.022396 	 TACHO = 0.974230 	 SOURCE = 0.996626 
OUT = 94.000000 	 PREOUT = 96.000000 	 ERROR = 0.033594 	 TACHO = 0.963032 	 SOURCE = 0.996626 
