ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2017-03-10 14:09:24 104m





Relative time;HS4D-5(24422).Ch2;HS4D-5(24422).Ch3
s;V;V
26.2315;113.04348;0.40120968
26.2316;112.64822;0.30846774
26.2317;112.64822;0.27419355
26.2318;112.05534;0.3125
26.2319;111.26482;0.29233871
26.232;109.68379;0.098790323
26.2321;109.09091;0.37903226
26.2322;107.70751;0.44758065
26.2323;106.52174;0.39516129
26.2324;104.54545;0.33669355
26.2325;102.7668;0.26612903
26.2326;101.3834;0.32056452
26.2327;99.604743;0.28024194
26.2328;98.221344;0.30040323
26.2329;96.442688;0.32056452
26.233;94.268775;0.31653226
26.2331;92.885375;0.30241935
26.2332;91.304348;0.27016129
26.2333;91.304348;0.33266129
26.2334;91.699605;0.35080645
26.2335;90.909091;0.35887097
26.2336;91.106719;0.35887097
26.2337;90.711462;0.30040323
26.2338;90.711462;0.34677419
26.2339;90.118577;0.34677419
26.234;90.118577;0.29233871
26.2341;90.118577;0.38104839
26.2342;89.328063;0.39314516
26.2343;88.735178;0.37701613
26.2344;103.55731;0.48185484
26.2345;106.917;0.44153226
26.2346;108.49802;0.3891129
26.2347;109.68379;0.36290323
26.2348;110.07905;0.38709677
26.2349;110.67194;0.40322581
26.235;110.67194;0.41733871
26.2351;109.88142;0.39919355
26.2352;109.68379;0.35080645
26.2353;108.3004;0.35887097
26.2354;107.31225;0.40725806
26.2355;106.12648;0.38508065
26.2356;104.94071;0.40120968
26.2357;102.7668;0.34072581
26.2358;102.17391;0.41330645
26.2359;100.59289;0.38104839
26.236;99.011858;0.39919355
26.2361;97.628458;0.40120968
26.2362;96.047431;0.44758065
26.2363;93.675889;0.41330645
26.2364;91.699605;0.38508065
26.2365;91.897233;0.38306452
26.2366;91.699605;0.38306452
26.2367;92.094862;0.33064516
26.2368;91.501976;0.37701613
26.2369;91.304348;0.39112903
26.237;90.909091;0.36895161
26.2371;90.711462;0.36693548
26.2372;90.118577;0.30443548
26.2373;90.316206;0.34677419
26.2374;89.72332;0.36491935
26.2375;89.72332;0.38508065
26.2376;102.17391;0.2358871
26.2377;106.12648;0.21572581
26.2378;111.46245;0.6391129
26.2379;110.07905;0.23387097
26.238;111.26482;0.25403226
26.2381;112.25296;0.30241935
26.2382;112.45059;0.23185484
26.2383;112.64822;0.26209677
