OUT = 52.000000 	 PREOUT = 50.000000 	 ERROR = 1.063814 	 TACHO = 0.000000 	 SOURCE = 1.063814 
OUT = 54.000000 	 PREOUT = 52.000000 	 ERROR = 1.063814 	 TACHO = 0.000000 	 SOURCE = 1.063814 
OUT = 58.000000 	 PREOUT = 56.000000 	 ERROR = 1.063814 	 TACHO = 0.000000 	 SOURCE = 1.063814 
OUT = 60.000000 	 PREOUT = 58.000000 	 ERROR = 1.063814 	 TACHO = 0.000000 	 SOURCE = 1.063814 
OUT = 64.000000 	 PREOUT = 62.000000 	 ERROR = 1.063814 	 TACHO = 0.000000 	 SOURCE = 1.063814 
OUT = 68.000000 	 PREOUT = 66.000000 	 ERROR = 0.727873 	 TACHO = 0.324743 	 SOURCE = 1.052616 
OUT = 70.000000 	 PREOUT = 68.000000 	 ERROR = 0.515110 	 TACHO = 0.548704 	 SOURCE = 1.063814 
OUT = 72.000000 	 PREOUT = 70.000000 	 ERROR = 0.414328 	 TACHO = 0.649487 	 SOURCE = 1.063814 
OUT = 74.000000 	 PREOUT = 72.000000 	 ERROR = 0.347139 	 TACHO = 0.705477 	 SOURCE = 1.052616 
OUT = 78.000000 	 PREOUT = 76.000000 	 ERROR = 0.279951 	 TACHO = 0.783863 	 SOURCE = 1.063814 
OUT = 80.000000 	 PREOUT = 78.000000 	 ERROR = -0.067188 	 TACHO = 0.795061 	 SOURCE = 0.727873 
OUT = 82.000000 	 PREOUT = 80.000000 	 ERROR = 0.235159 	 TACHO = 0.828655 	 SOURCE = 1.063814 
OUT = 84.000000 	 PREOUT = 82.000000 	 ERROR = 0.201565 	 TACHO = 0.851052 	 SOURCE = 1.052616 
OUT = 88.000000 	 PREOUT = 86.000000 	 ERROR = 0.167971 	 TACHO = 0.895844 	 SOURCE = 1.063814 
OUT = 90.000000 	 PREOUT = 88.000000 	 ERROR = 0.145575 	 TACHO = 0.918240 	 SOURCE = 1.063814 
OUT = 92.000000 	 PREOUT = 90.000000 	 ERROR = 0.123179 	 TACHO = 0.940636 	 SOURCE = 1.063814 
OUT = 94.000000 	 PREOUT = 92.000000 	 ERROR = 0.111980 	 TACHO = 0.951834 	 SOURCE = 1.063814 
OUT = 98.000000 	 PREOUT = 96.000000 	 ERROR = 0.055990 	 TACHO = 0.996626 	 SOURCE = 1.052616 
OUT = 100.000000 	 PREOUT = 98.000000 	 ERROR = 0.022396 	 TACHO = 1.030220 	 SOURCE = 1.052616 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = 0.011198 	 TACHO = 1.041418 	 SOURCE = 1.052616 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = -0.011198 	 TACHO = 1.075013 	 SOURCE = 1.063814 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = -0.022396 	 TACHO = 1.086211 	 SOURCE = 1.063814 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = -0.022396 	 TACHO = 1.086211 	 SOURCE = 1.063814 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = -0.022396 	 TACHO = 1.086211 	 SOURCE = 1.063814 
OUT = 98.000000 	 PREOUT = 100.000000 	 ERROR = -0.033594 	 TACHO = 1.097409 	 SOURCE = 1.063814 
OUT = 100.000000 	 PREOUT = 98.000000 	 ERROR = -0.033594 	 TACHO = 1.086211 	 SOURCE = 1.052616 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = -0.022396 	 TACHO = 1.075013 	 SOURCE = 1.052616 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = -0.011198 	 TACHO = 1.075013 	 SOURCE = 1.063814 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = -0.011198 	 TACHO = 1.075013 	 SOURCE = 1.063814 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = -0.022396 	 TACHO = 1.086211 	 SOURCE = 1.063814 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = -0.022396 	 TACHO = 1.086211 	 SOURCE = 1.063814 
OUT = 98.000000 	 PREOUT = 100.000000 	 ERROR = -0.033594 	 TACHO = 1.086211 	 SOURCE = 1.052616 
OUT = 100.000000 	 PREOUT = 98.000000 	 ERROR = -0.022396 	 TACHO = 1.086211 	 SOURCE = 1.063814 
OUT = 102.000000 	 PREOUT = 100.000000 	 ERROR = -0.011198 	 TACHO = 1.075013 	 SOURCE = 1.063814 
OUT = 98.000000 	 PREOUT = 100.000000 	 ERROR = -0.033594 	 TACHO = 1.086211 	 SOURCE = 1.052616 
