9	70.000000 	 0.033594 	 0.750269 	 0.783863 
9,1	68.000000 	 0.055990 	 0.727873 	 0.783863 
9,2	70.000000 	 0.078386 	 0.705477 	 0.783863 
9,3	72.000000 	 0.078386 	 0.705477 	 0.783863 
9,4	76.000000 	 0.044792 	 0.739071 	 0.783863 
9,5	74.000000 	 0.022396 	 0.772665 	 0.795061 
9,6	72.000000 	 0.022396 	 0.761467 	 0.783863 
9,7	70.000000 	 0.044792 	 0.739071 	 0.783863 
9,8	72.000000 	 0.055990 	 0.727873 	 0.783863 
9,9	74.000000 	 0.055990 	 0.727873 	 0.783863 
10	76.000000 	 0.044792 	 0.739071 	 0.783863 
10,1	74.000000 	 0.022396 	 0.761467 	 0.783863 
10,2	70.000000 	 0.022396 	 0.750269 	 0.772665 
10,3	72.000000 	 0.055990 	 0.727873 	 0.783863 
10,4	74.000000 	 0.145575 	 0.638289 	 0.783863 
10,5	76.000000 	 0.033594 	 0.750269 	 0.783863 
10,6	78.000000 	 0.022396 	 0.761467 	 0.783863 
10,7	76.000000 	 0.000000 	 0.783863 	 0.783863 
10,8	74.000000 	 -0.011198 	 0.783863 	 0.772665 
10,9	72.000000 	 0.022396 	 0.761467 	 0.783863 
11	74.000000 	 0.033594 	 0.750269 	 0.783863 
11,1	78.000000 	 0.011198 	 0.772665 	 0.783863 
11,2	76.000000 	 0.000000 	 0.783863 	 0.783863 
11,3	74.000000 	 0.000000 	 0.783863 	 0.783863 
11,4	72.000000 	 0.011198 	 0.772665 	 0.783863 
11,5	76.000000 	 0.022396 	 0.761467 	 0.783863 
11,6	78.000000 	 0.022396 	 0.761467 	 0.783863 
11,7	76.000000 	 0.000000 	 0.783863 	 0.783863 
11,8	74.000000 	 0.000000 	 0.783863 	 0.783863 
11,9	74.000000 	 0.033594 	 0.750269 	 0.783863 
12	76.000000 	 0.044792 	 0.739071 	 0.783863 
12,1	78.000000 	 0.022396 	 0.761467 	 0.783863 
12,2	76.000000 	 -0.011198 	 0.795061 	 0.783863 
12,3	74.000000 	 0.000000 	 0.783863 	 0.783863 
12,4	72.000000 	 0.783863 	 0.000000 	 0.783863 
12,5	74.000000 	 0.022396 	 0.761467 	 0.783863 
12,6	76.000000 	 0.022396 	 0.761467 	 0.783863 
12,7	78.000000 	 -0.526308 	 0.772665 	 0.246357 
12,8	74.000000 	 0.000000 	 0.783863 	 0.783863 
12,9	76.000000 	 0.011198 	 0.772665 	 0.783863 
13	78.000000 	 0.011198 	 0.772665 	 0.783863 
13,1	80.000000 	 0.000000 	 0.783863 	 0.783863 
13,2	78.000000 	 -0.022396 	 0.806259 	 0.783863 
